"Type.Of.Traveler","Seat.Type","Date.Flown","Recommended","Seat.Comfort","Cabin.Staff.Services","Food.Beverages","Inflight.Entertainment","Ground.Service","Wifi","Value.For.Money","Reviews","Total.Ratings","Verification","Origin","Destination"
"Couple Leisure","Economy Class","05-19","no",2,3,4,5,1,2,3," Daytona Beach to Austin via Atlanta. I have used Delta for many years, however my last (4) trips flown with the company has been hindered with issue after issue. Though I have tried to reconcile these issues with the company and have been gifted several vouchers (which i have not used) it seems that the issues mentioned do not get corrected. My last flight was Nov. 10, 2019 flying home from spending my birthday with friends and family. the flight was set to board at 7:35pm and depart at 8:15pm. At the gate it was announced that the airline was awaiting the arrival of the captain and co-captain to arrive and boarding was pushed back 20-30 minutes. This is understandable ... boarding started at or around 8:10pm whereas it was around 8:30 by the time Main Cabin 1 was called to board. Around 20 minutes after sitting in my seat the flight attendants cam over the PA stating that they had no update on the whereabouts of the captain and co- captain and thanked everyone for their patience (8:50pm). 20 minutes later the Captain announced his sincerest apologies and explained he had just flown in with the NFL team and had been stranded on the tarmac for some time before catching a ride over to our plane (9:10pm). He added that checks still had to be made prior to the flight and we should be taking off in around 25-30 minutes. At 9:34 pm we pushed away from the gate prepared for take off and that the flight would take two hours and fourteen minutes from take off to touch down, then another delay as we were declared number 3 for take off. The flight landed in Orlando after midnight however by the time we were able to exit the plane was more closer to 1am. We had prepaid parking set for 11pm retrieval. At 1:15am we picked up our vehicle and started our hour and fifteen minute drive home (2:30am). We both had to work in the early morning, myself at 5:00 am. Delta's form of understanding how much adverse effects can have for having such poor service... $75.00! This is the gratitude the company feels is adequate for its customers.",2.85714285714286,"Trip Verified","Brussels","Atlanta"
"Solo Leisure","Economy Class","05-19","no",4,1,2,3,4,1,1," Delta staff on this flight were very nice and treated customers with care. I can count on them to always provide good service and on time-departures. Detroit seems like an easy hub to connect through and Raleigh is so convenient to get through as an airport. Awesome job Delta! ",2.28571428571429,"Trip Verified","South Bend","New York"
"Solo Leisure","Economy Class","05-19","yes",2,3,1,1,1,2,1,"Detroit to Calgary via Minneapolis. Due to poor road conditions, no drivers were willing to take me to the airport for my early morning flight despite trying Lyft, Uber, and calling every taxi company in the area from 4 AM until after 6 AM. When someone was finally willing to take me, it was too late and I missed my flight. Upon I arriving at the airport, I told a customer service agent I missed my flight and don't know what to do, and she immediately was very kind and comforting. She directed me to a desk and reassured me it would be sorted out. The agent at the desk was extremely compassionate, and despite the fact that I had only paid for an economy fare ticket and did not purchase the flexible fare, he did not charge me for changing my flight and got me a seat on the next plane. He also kindly reassured me that everything would be fine and I would be able to get home. I was the last one to board the plane and it departed right away. I am so thankful that they waited for me and that they were so kind as to not charge me again. They were within their rights to charge me again, but they treated me kindly like a person rather than just another source of profit. Great service, friendly and kind agents, big fan of their in-flight entertainment system as well as the free wi-fi for in-flight messaging purposes. I also like that they still give both cookies and crackers on the short flights, whereas other airlines I've flown with only offer beverages now. The only downside is the seat cushions are not well padded in economy, but you get what you pay for. I have rarely flown with Delta in the past, but I would definitely fly with them again.",1.57142857142857,"Trip Verified","Bozeman","Salt Lake City"
"Couple Leisure","Economy Class","05-19","no",2,3,1,1,2,3,1," Orange County to Minneapolis. Very disappointed with Delta. I was told I needed to check my carry on. I adhered to the rules of a carry-on and a personal item yet they allowed another person before me to board with four (yes, 4) bags. I believe the rules should be followed by everyone. I can understand my checking my bag as it’s necessary but everyone should follow the same rules. Check her 2 additional bags.",1.85714285714286,"Not Verified","Washington","Salt Lake City"
"Family Leisure","First Class","05-19","no",1,1,1,2,3,1,2,"  I have flown Delta twice in the last year to Guatemala City through Atlanta. I have never in my life met such negative and rude employees in a service industry as the Delta Employees in Atlanta. I will do everything in my power to never again fly Delta through Atlanta.",1.57142857142857,"Not Verified","New York","Miami"
"Business","Economy Class","10-18","no",3,1,2,1,1,2,1," Raleigh- to Orlando nonstop went smoothly both ways with full flights. Inbound arrived 17 minutes early, outbound 5 minutes early. Service was fine, clean planes, snacks were good. WiFi was spotty and pricey if you wanted to do more than watch movies or use iMessenger. I felt a little queasy during final approach to Raleigh, but I blame that on rough air rather than the pilots.",1.57142857142857,"Trip Verified","Amsterdam","Atlanta"
"Business","Economy Class","05-19","no",1,1,2,3,1,2,3," Tahassee to Toronto via Atlanta. Took 4 Delta flights in 10 days, 3 of them had major issues. TLH had no ready GPU/APU to pull  40 min delay. To make it worse, gate agent unfamiliar with ITI procedures could not check my bag to YYZ, instead had me take ATL train six stops to domestic bag claim, run to slow International terminal F shuttle, only to arrive at Air Canada checkin counter closed. I had to buy a $500 ticket from Delta to go home. Original ATL transit time was 2+ hours - Missed bag, AC/DL at ATL, onward to TLH baggage handlers/Delta had 1.5 hours to transfer bag. - Delta delayed 1403 Panama City to ATL 4 times, maintenance issues I missed Halloween with my family.",1.85714285714286,"Trip Verified","Chicago","Orlando"
"Business","Economy Class","05-19","no",1,2,3,1,2,3,1," I was travelling from Milwaukee to Paris via Atlanta and connecting to Rabat. The Delta rep at the service counter wouldn't give me my boarding passes all the way to Rabat, nor would they give my seat assignments. The next Delta reps/Air France reps were surprised that I didn't have them. Handicapped assistance was not available because I didn't have boarding passes.",1.85714285714286,"Trip Verified","Atlanta","Boston Logan"
"Business","Economy Class","05-19","no",1,2,1,1,1,1,2," Jacksonville to Rochester via Boston. Delta took $326.86 dollars from me on an ""economy"" deal. I attempted to change the 11-22 flight on 10-7. I was not looking for a refund but literally could not make the 11-22 flight and was seeking a credit to change flight days. Delta coldly refused (I have never tried to change a flight with anyone). Delta is a cold, callous corporation that is unfeeling toward its customers, and I will never book a flight with Delta again. I couldn't be more disgusted if I tried.",1.28571428571429,"Not Verified","Philadelphia","Atlanta"
"Solo Leisure","Economy Class","05-19","no",1,1,2,1,2,1,2," Accra to Tampa via New York. I have been a Delta platinum member for years and Delta has lost my bag and is not doing anything about it. I arrived at JFK from Accra, retrieved my 3 suitcases and re-checked them in to Tampa only for me to receive just 2 bags in Tampa. Customer service has been useless on how to handle the situation and no one calls back when they say they will. I’ve had to go to the airport every day for 2 weeks straight and also sent someone in JFK to go to Delta baggage services personally only for them not to be able to help. I ended up having to file a claim and Delta is asking for receipts of all my stuff in the bag-which is ridiculous because how do they expect me to have receipts for items purchased years ago? Did I ask for my bag to be lost? The claims manager never answers his phone or returns messages. This is so unacceptable and I’ve had enough of this nonsense. I paid so much for my ticket-not to mention all my valuables inside the suitcase which Delta compensate me for. I need my bag back and Delta at this point feels they can be careless and pay me off (which they cannot because they would give me way less than what everything costs) and get away with it. Me and my family have only flown Delta for so many years but I will probably have to switch to a different airline now because I am so disappointed.",1.42857142857143,"Trip Verified","New York","Paris"
"Solo Leisure","Economy Class","05-19","no",3,1,2,3,1,2,3,"  Seattle to Spokane. My flight got delayed 5 different times. They were going to have me take a late flight to my destination when I had originally had an afternoon flight. They eventually had to get a completely different plane to come to the airport to do the flight. Ridiculous. I will never fly Delta again.",2.14285714285714,"Not Verified","Greenville","Atlanta"
"Family Leisure","Economy Class","02-19","no",1,2,3,4,5,1,2," Great customer service. I took Delta from SJC to Eugene and back again and both trips I had a scheduled stop in Seattle to change planes. Of the 4 total flights, 3 of them left right on time and got me to my destinations early. The fourth flight (Seattle to SJC) ended up getting delayed about 2 hours. However, in addition to courtesy texts and emails informing me of the delay and apologizing, they apologized to all of us again at the gate about an hour out from boarding and offered all of us free snacks and drinks. Delays are a reality of air travel, but my experience with Delta showed me that they work hard to avoid delays and even harder to make up for them if they occur. Things like free snacks may be a small gesture, but they really go a long way in showing they care. Great experience overall.",2.57142857142857,"Trip Verified","Atlanta","New York"
"Business","First Class","05-19","no",3,4,1,2,3,4,1,"Fayetteville to St. George via Atlanta. I'm military and I hate flying Delta. My flights are booked far out using a 3rd party vendor. I request seat selections based upon availability at the booking time, but I always end up in the middle on super lengthy flights. Then, because I travel with a smaller carry-on bag, I'm expected to put it under my seat. I'm in the middle, I don't have arm space or leg room by the time, I slide the bag under the seat. Military probably gets discounted rates which is why Delta probably doesn't take seat selection into consideration. It's business travel, and it absolutely sucks with Delta. Anytime I can fly American, I will.",2.57142857142857,"Trip Verified","Seattle","Detroit"
"Business","Economy Class","05-19","no",2,3,4,1,2,3,4," Dublin to New York. I booked a flight with KLM, Delta was the carrier. I arrived at the 2 minutes late for my flight in Dublin after a wait at us pre clearance. Staff a gate were horrible, not helpful and would never fly with them again, said we missed the plane by 2 minutes, plane was still rigged up to stairs",2.71428571428571,"Trip Verified","Newark","Raleigh Durham"
"Solo Leisure","Economy Class","05-19","no",5,1,2,3,4,5,1," Detroit to Amsterdam. Been sitting on tarmac for about 2.5 hours due to unspecified computer problems. Cockpit keeps telling us it will be about 30 minutes, Every 30 minutes they tell is it will be another 30 minutes. No end in sight.",3,"Trip Verified","Florida","Atlanta"
"Solo Leisure","Economy Class","05-19","no",2,3,4,5,1,2,3,"  Lexington to Key West via Atlanta. I would discourage anyone needing to get to their destination on the same day as promised when purchasing tickets to avoid Delta. Delta claimed ""bad weather"" as a reason they could not land in Atlanta. However, our connecting flight took off during this extended period of 'bad weather.' They also lied about rebooking us on the next available flight. They also lied about having customer service representatives available at the gate upon arrival. They prevented a wedding party from attending the rehearsal for a destination wedding. If your travel plans matter to you, don't choose Delta.",2.85714285714286,"Not Verified","Honolulu","Seattle"
"Family Leisure","Economy Class","02-19","no",4,5,1,2,3,4,5," Atlanta to Cincinnati. Observation the number of people who are bringing 2-3 bags. And they seem to be larger than might work. When you are in the comfort+ and you board when you should you would expect to be able to have overhead space for a cpap machine. I put my backpack in the seat in front of me. This wasn’t the case it had to be put all the way in the back. I think you should be addressing the carry one issue.",3.42857142857143,"Trip Verified","Las Vegas","Pittsburgh"
"Solo Leisure","Economy Class","05-19","no",1,2,3,4,5,1,2,"  Baltimore to New York. I fly Delta weekly as I have not much choice flying between BWI and JFK and it honestly gets worse every week. Always an issue, never board or take off on time. As I type this I am sitting in yet another aircraft with a mechanical issue and the mechanic won’t be here for at least a half hour. Flights constantly delayed or cancelled. Funny though, if I opt for American Airlines, I don’t seem to have these issues. Very frustrating after all the money I’ve spent with these folks. Although not as convenient, I’m making the switch to American after today.",2.57142857142857,"Not Verified","Atlanta","New York"
"Family Leisure","Economy Class","05-19","yes",3,4,5,1,1,1,1," Delta repeatedly has bad ground and customer service staff. The breaking point which compelled me to write a feedback on this airline after flying with them for so many years came when they did not handle my luggage professionally. When there was damages found on the bags, the ground agents denied liabilities and accuse the fault was on passengers. The same was true to other passengers who experienced the same problem on the same flight when in Singapore from the US via Tokyo. After filing complaint to the customer service, the customer service took more than 14 days to reply (when in their auto reply email stated they would reply within 14 days) and the customer service would defend their mistakes and continue laying blame on the passengers. I have been their top level frequent fliers but I never felt I was treated like one at all. They don't offer any preferential check in, retrieval of luggage bags above their usual sky priority which a simple comfort + would earn the similar treatment while being the top frequent fliers on other alliance group or airlines would have offered 1st class service than Delta offering merely the same like comfort +. Service recovery is bad. The staff are not trained or geared towards high value customers at all. Having a Porsche for tight connection is nothing premium when other airlines offer direct boarding from lounge like Emirates or complimentary limousine airport transfers such as from JL, MH and so on. They appear to prefer paid business class passengers but their products and services completely do NOT match up to any full service airlines that have business class product. Their lounge is always filled with so many people and refreshment are really just plain refreshment (basic snacks NOT food) and very often, their lounges do NOT even have shower facilities. So don't even count on having complimentary spa/massage/sleeping area etc. Their planes are dirty and old yet the ticket fares are expensive. Amenities frequently not working for example IFE doesn't work, USB not charging, food stuck in between seats, chewing gums found in aircraft safety menu, dirty toilets, broken window shades and Delta has a policy where instead of bumping revenue passengers to higher classes when seats are needed, they would instead bump their non revenue employees or families/kins onto business class seats especially on international route. Their complimentary first class upgrade almost hardly happen to any members as it will always be full. Delta will always try not to offer the upgrade until at boarding and by which time, all the first class seats would be taken up already. So don't be fooled by the benefits stated on their website for their frequent fliers programme. Their hidden clause to defend their misrepresentation would be ""whenever available"". To Delta, available for revenue tickets doesn't mean available for upgrade. There is absolutely no incentives being their frequent fliers especially for international travellers. They are just a commuter airline within US or regional at best. So Delta best if ever rated best is best within the US only. In one word to describe Delta and by International Standard, avoid  it. Its better to take your money to other airlines who would respect and treat premium or frequent fliers more seriously.",2.28571428571429,"Trip Verified","New York","Orlando"
"Family Leisure","Premium Economy","01-19","no",1,1,1,1,2,3,4," Dallas to Atlanta. I have been a faithful Delta customer for many years, flying about 1x a month. They have fair reliability. They treat economy customers like trash. I have over 140k in miles but get zero upgrades or assistance. Several times I have not received snacks or drinks because I am in the back of the plane.",1.85714285714286,"Not Verified","Seattle","Orlando"
"Solo Leisure","Economy Class","03-19","yes",1,2,3,4,5,1,2,"Buffalo to Los Angeles. Bad experience with Delta, for a strange reason, was my baggage to heavy (3 kg) this is strange because on the KLM flight the weight of my baggage was not too heavy. I must pay $100 extra for my baggage so the total amount for 3 pieces of baggage was $190.00. Never Delta airlines for me.",2.57142857142857,"Trip Verified","Minneapolis","Aruba"
"Couple Leisure","Economy Class","04-19","no",1,2,3,4,5,1,2," Mexico City to Los Angeles. Great customer service. Staff was honest and helpful with any assistance we needed. I would recommend the Delta service in Mexico City",2.57142857142857,"Not Verified","Syracuse","Atlanta"
"Business","Economy Class","04-19","yes",3,4,5,1,2,3,4," Newark to Munich. We had connecting flights both departing and returning back to New Jersey from Munich. Everything ran smoothly. We did have to retrieve our baggage on our return flight because of international customs but Delta had an place in the Detroit departure area to drop off luggage and forward them to Newark. It was effortless. The flight attendants made the time on both flights remarkably comfortable. Blankets and pillows were available. They were attentive to our needs. Warm moist cloths were given before our 2 meals to freshen up. Beverages were served several times and cups of water offered frequently. Snacks were served and offered when we wanted, the flight attendants seemed to truly enjoy their job. The captains let us know what was going on especially when we had a weather delay flying back to Newark. It was nice to hear why we were being held back from landing and for how long instead of wondering what was happening or how long we would be circling. We will not hesitate to choose Delta/KLM in the future. As stressful as flying can be the Delta crew made it an amazing journey. ",3.14285714285714,"Trip Verified","Atlanta","Norfolk"
"Solo Leisure","Economy Class","04-19","no",5,1,2,3,4,1,2," Seattle to Kona. I was so pleased with my flight and this was my first time flying so I had all the jitters. The staff was amazing, comfort level was top notch. They had pillows and blankets and little televisions in the seats and you can track your flight. The pilot kept us updated. I literally will only fly Delta from now on. On our way home we flew Alaska and I was extremely upset that it was such a downgrade. I was shivering and freezing cold the entire flight as was my son and husband and we were in long sleeves and pants. No pillows, no blankets, you had to pay to use the tablets, staff were snotty. Thank you Delta for the good experience.",2.57142857142857,"Trip Verified","Baltimore","Boston"
"Solo Leisure","Economy Class","04-19","yes",3,1,2,3,1,2,3,"Atlanta to Frankfurt. I have decided to fly with another airline going forward just because my overall experience with Delta is simply too frustrating. I was also pretty unhappy with the unreasonable 1st checked baggage fee. Also my not being able to choose my seat during check-in. And when I asked the agent to change it for me in Frankfurt he simply had no interest in helping me. Food was also unsatisfactory. My opinion at this point is that Delta is simply not worth the headache. FYI: the changes Delta has made are clearly not geared toward passenger satisfaction.",2.14285714285714,"Trip Verified","Detroit","Los Angeles"
"Solo Leisure","Economy Class","04-19","no",1,2,3,1,2,1,1,"Louisville to Newport News via Atlanta. The flight was delayed a pretty long time resulting in me missing my flight. We flew into Atlanta where the staff was so terrible I know I will never use you guys again. She was rude and very unprofessional. I just don’t understand how you guys don’t coordinate with late flights to make sure we make our flight. This resulting in a delay of the mission. Thanks for nothing.",1.57142857142857,"Trip Verified","Chicago","Detroit"
"Couple Leisure","Economy Class","04-19","yes",1,1,1,1,1,1,1,"Kansas City to San Jose via Atlanta. Ok Delta. Today you did us wrong and caused us to miss the flight. Let the connecting flight leave early without 8 passengers knowing we were delayed because of the weather. 7 hrs and $350 dollars later because of you. Not happy. Hate Delta. Wifi on the plane doesn't work and this airport is not hearing impaired friendly. Do not use Delta.",1,"Trip Verified","Richmond","Atlanta"
"Couple Leisure","Economy Class","04-19","yes",1,1,2,1,2,3,1," We were in flight delayed, forced to circle terminal for more than 20 minutes, which put us arriving close to our next departure. Then they changed our terminal to the furthest terminal to have to run and catch our plane to Costa Rica. Never mind the people who didn't listen to the announcement of please sit if you do not have a connecting flight in less than an hour. Now we are out 8 hours of our destination and 200 dollars to have to taxi from another town we are flying into. I will not book flight with Delta again. Especially since they did everything they could to delay our landing.",1.57142857142857,"Trip Verified","San Francisco","Atlanta"
"Business","Economy Class","04-19","no",2,1,1,1,2,1,2," Atlanta to Las Vegas. The process to get to the gate is slow and stupid. It seems they could do it more efficiently but would rather annoy everyone. There’s never enough room to put your carry on because they don’t enforce carry on size. One suitcase will fill an overhead bin where three carry ons should go. I had to sit with my legs crossed in my seat for my whole flight - very uncomfortable. The staff on the flight is not  courteous or helpful. And who thinks some wheat cheezits are good? Very disappointed. It’s like each flight gets worse and worse. It’s almost worth taking your chances of getting pulled out of your seat and just going with another airline.",1.42857142857143,"Trip Verified","New York","Detroit"
"Solo Leisure","Premium Economy","04-19","yes",1,1,1,1,1,1,1,"  Delta is a very good airline to fly on. we flew from Jacksonville to Atlanta. the plane was old, but had new IFE monitors. The staff on the plane and on the ground were very nice. I am looking forward to fly with Delta again.",1,"Not Verified","Atlanta","San Juan"
"Solo Leisure","Economy Class","04-19","yes",2,3,1,2,3,1,2," Mobile to Raleigh. My son was sick and unable to make the flight so I called Delta customer service and they were just the best. Did a refund for his ticket without any hassle of any kind. What a great team you have that treated us like real customers in all areas of your business. Will fly Delta only now.",2,"Not Verified","Norfolk","Atlanta"
"Solo Leisure","Economy Class","04-19","no",3,1,2,1,2,3,1," Washington Dulles to Atlanta. I arrived to the airport ahead of schedule about 1 to go thru processing & enough time for my flight. The plane arrived, the passengers got off & we started boarding the plane about 4:45. While sitting for about 30 minutes the stated they was looking into some things & would update shortly. It was after 7 before they came advising we had to get off the plane, it couldn't fly because of navigation that our flight would leave at 9. While sitting & waiting the pilot comes on to say sorry folks I can't fly you out at 9 that he would reach his 20 hours so trying to round up a crew to fly out at 1:20. Everyone all upset so they start putting people in hotels & getting a taxi. The guy in front of me got the last room available so only other recourse would be pay out of pocket ourselves. I advised that I had an event that morning in Bryon at 11am was there any other flights so I was eventually able to grab a standby. My ticket says wheelchair assistance because I cant do all of the walking in the airport due to disability. So I get to Atlanta airport no wheelchair & to top things off my baggage with all my things I needed was no where to be found. I fill out a baggage claim. Saturday evening my baggage was delivered. I submit a complaint online thru Delta to get a response by email saying they was sorry & unfortunately couldn't assist. My thought process is after everything I had been thru for an airline to not think enough to at least pick up the phone to call your customer was just as bad as the entire experience on Friday. Unbelievable Delta, really unbelievable! Not to mention the entire time sitting on the plane did you offer crackers or juice will everyone sitting there cramped up & uncomfortable.",1.85714285714286,"Trip Verified","Baltimore","Atlanta"
"Couple Leisure","Economy Class","04-19","no",2,1,2,3,4,1,2," Amsterdam to Detroit, 26 September 2019 Premium Select. Check-in on line impossible, stating that a change had occurred and that I was allowed to amend my flight at no extra cost. Not a real option as the rest of the trip had already been booked and partially paid for. Arriving at the check-in counter at Amsterdam Airport we got different seats than booked. Explanation: Delta had flown in with a different aircraft. But we were assured that we would nonetheless have Comfort Plus seats being ‘the equivalent of Premium Select’. This is, of course, not the case: The difference between Comfort Plus and Premium Select is 4 inches of legroom less, no leg support and no 7 degrees more reclining seats; a smaller screen and no personalized service etc. Features reflected in the price difference. The big blow, however, came inside the plane. One can try to call any seat a Comfort Plus seat, but not a main cabin seat with 9 instead of 8 abreast. Also, dinner came on the same tray and with the same quality as the rest of the cabin, The menu circulated in advance was clearly marked ‘International Main Cabin’. Checking the safety instructions in the seat pocket, it turned out that the plane in question was a Boeing 777-200 in a configuration not available on Delta’s web site. Probably an older version, because my table was hanging toward me, making my food tray almost landing on my lap. What I reproach Delta most of all is that they were not straightforward. A plane replacement might happen. In that case it would have been correct to let Premium Select passengers know, with excuses and an offer to compensate for the inconvenience. This has not happened.",2.14285714285714,"Trip Verified","New York JFK","Punta Cana"
"Solo Leisure","Economy Class","04-19","no",1,1,1,2,1,1,2,"  My flight coming into ATL was delayed by 20 minutes and had 25 minutes until my next flight left for Fayetteville. I was so worried I wouldn't make it but the flight attendant on the flight coming into Atlanta assured me they would wait for me, but I still ran my heart out to the next gate. They had just called for last boarding call and the plane was still there. I explained i had no baggage and am military and really needed to board three plane. It was 2124 and the plane was scheduled to depart at 2131. The lady told me she hears the ""military excuse"" but there's nothing to be done. I understand there is a schedule but this was the last flight into Fayetteville. Every other airline, like southwest, will hold the plane for a small amount of time for passengers with small delays. Delta ruined my chance of getting home before work and I will rethink flying with them again. I want a company that supports thir passengers, especially when that company is the cause of the delay.",1.28571428571429,"Not Verified","Atlanta","New York"
"Business","Economy Class","04-19","no",1,1,1,1,1,1,1," Minneapolis to Fargo. Don’t ever trust your luggage in the hands of this incompetent company. My wife and I purchased a brand new away bag since our old luggage had seen its better days. We bring it with us for the first time and while checking our bag the lady behind the counter literally threw our luggage and bounced it off the wall and onto the conveyor belt. We mention that was rude and she apologizes. Then we get to our destination and our bag isn’t there to greet us. Great. Glad that’s the second time in a row we have been without our luggage in 2 trips. Delta batting 1000 right there. Fast forward 2 days we get our bag to the airport and the baggage guy in Phoenix is a little more careful with our bag but not much. We get home finally and our zipper is destroyed, our name tag is completely ripped and the  new bag is scratched. Naturally, we decide to speak to a Delta representative at this point and he informs me it’s minor damage and that it’s probably not worth my time to make a claim since Delta surely won’t do anything about it anyways. Forget Delta.",1,"Trip Verified","Detroit","Minneapolis"
"Solo Leisure","Economy Class","04-19","no",1,1,2,3,4,1,2," Tokyo to Baltimore via Minneapolis. I will never fly Delta again after what I went through here in Tokyo. Understandably they canceled flights for Saturday October 12th due to a typhoon, but our flight was the following afternoon - all Delta flights on Sunday and Monday are canceled despite the fact that the typhoon has passed by Sunday morning and the majority of other airlines are flying this afternoon and tomorrow. Instead of compensating us for the extra 3 days we are stranded in Tokyo or adding additional flights they are absolving themselves of any blame and forcing their customers to pay over $500 out of pocket for the multiple days we are stranded in Japan. You’re a multi billion dollar corporation and you can’t even offer your customers some kind of compensation when you made a mistake and canceled flights far too early? It’s disappointing but enlightening because it showed me the type of airline you are and you’ll never get another dollar from me.",2,"Trip Verified","Salt Lake City","Atlanta"
"Family Leisure","Economy Class","04-19","yes",3,4,1,2,3,1,2,"  Detroit to Fort Lauderdale. Delta is by far the worst airline I have ever travelled with. They do not care about their passengers. The workers have 0 idea anything about the planes or the flight.  cannot express how bad they are. nobody should fly them.",2.28571428571429,"Not Verified","Cincinnati","Denver"
"Couple Leisure","Economy Class","04-19","no",3,4,1,2,3,4,1,"As a middle school math teacher, I saved for months for this trip and am so disappointed to loose one of our days of vacation. Here’s what happened. We drove 1.5 to get to the Indianapolis airport only to find out that our first flight (to Atlanta) was not going make in time to catch our next flight and we’re forced to reschedule our flight for the next day. So we had to drive home 1.5 hours to get to do it all again tomorrow morning. So, we lost one day at our all inclusive resort and we will not be refunded the $500 a night since we did not cancel 24 hours prior. What did we get from Delta, Sorry but at least we’re not going to charge you for rescheduling your flight. Seriously Delta, you can do better than that.",2.57142857142857,"Trip Verified","Edinburgh","New York"
"Couple Leisure","Economy Class","04-19","no",2,3,1,2,1,2,3," We flew from MBJ to DTW on 3/19/2023. My daughter accidentally left her Lululemon fanny pack with some valuables inside on the plane! She didn't realize until we were in Customs. We hustled to get to our gate (A76), where we were met by a super friendly desk agent. She was more than sympathetic and advised us of where to go. Unfortunately, the bag hadn't made it through Customs yet, so I had already accepted that we may never see the bag again, or at the very best, we would see be lucky enough to get it back days or weeks later. When our flight was slightly delayed, the agent at A76 said she would call the Delta help center, located outside of gate A43, again for us to see if it had cleared Customs. We had no sooner returned to our seats when our names were called over the PA system. The bag had been delivered to our gate! Wow, Delta, Way to come through for us! We are super appreciative and grateful. Thank you to everyone who assisted!!",2,"Trip Verified","Bozeman","Richmond"
"Business","Economy Class","04-19","no",1,2,1,2,3,1,1," We waited over an hour at the tarmac in ROC for a truck to de-iced the airplane and unfortunately because of this we lost our connection. We went to a Delta counter and they rescheduled us for a flight 8 hours after the original. I asked for food vouchers and they were denied because the flight was good and it wasn't their fault we landed late!",1.57142857142857,"Trip Verified","Atlanta","Gainesville"
"Business","Economy Class","04-19","no",2,1,2,3,1,2,3,"  My partner and I have two First Class tickets and I have a Delta American Express card. We tried to access the Sky Lounge in Atlanta and were told there would be a $50 fee. Seriously? Not allowing First Class passengers to access the SkyLounge is cheap on Delta’s part. Build the brand, don’t count your pennies. Ridiculous and it definitely leaves a bad feeling.",2,"Not Verified","San Josew","Atlanta"
"Solo Leisure","Economy Class","03-19","yes",4,1,1,1,2,3,1," My first flight was delayed which resulted in me missing my connecting flight. They provide you with a hotel and small food voucher, but the hotel does not even accept the voucher? It’s 24hrs before my next flight which means that I have to wait in the airport again. The inconvenience of it all and it is costing me extra money and time while it was their fault with zero to no compassion or trying to make it better. Not flying with them again!",1.85714285714286,"Trip Verified","Columbus ","Detroit"
"Family Leisure","Economy Class","04-19","no",2,3,1,2,3,1,1,"  I have been a member of their frequent flyer program for 22 years. I have purchased first class tickets and have never asked for an upgrade. In 2021 I flew Delta so much that I achieved Platinum Status for 2022. Delta’s Platinum status provides a number of regional upgrades as a reward for flying so much over the course of a year. In July I knew what my travel schedule would be for the remainder of the year so I purchased tickets to travel for September, November and my annual Christmas trip home. I used the certificates to purchase first class seats for my travel dates. Then on the day of my Christmas travel I printed out my first-class tickets and boarding passes for the trip. I reached out to Delta to confirm my seats. At that point I was told that I needed one more pass to have first class seats for my round trip travel. I was told the young lady that I purchased the tickets in June and I have my tickets showing my travel in first class and my seat assignments for the round trip. I was passed along from agent to agent and finally I was told that the agent who booked the trip made a mistake and I would either have to pay $1,100 or 150,000 air miles to use the ticket that I had printed out. I was outraged to say the least. Even though I was told by every agent that I spoke with that it was Delta’s mistake and not mine. Reluctantly, I agreed to their demands and completed my trip however this episode left a really bad taste in my mouth and tarnished my opinion of Delta Airlines. For years I could have been flying US Air and landing in Florence which is closer to my family. However, I remained loyal to Delta because I liked their service. And I guess that is my fault because loyalty these days mean absolutely nothing these days.",1.85714285714286,"Not Verified","Detroit","Washington DC"
"Family Leisure","Economy Class","03-19","yes",1,1,1,1,1,1,1,"  Delays are becoming the norm on Delta flights. Delta usually overlooked their flights causing delays as they beg people to switch flights/travel plans. Today, we boarded our flight and still did not leave for 90 minutes later. The flight is a total of 90 minutes! This is so far the worst experience I’ve had with Delta. They are quick to not spite you to board if past boarding time but this extraordinary wait for no reason is unbelievable. An hours ago they said it was the water and we just would not have coffee. Here we are still here! This screams overbooking or poor scheduling if we should be at our destination already and so haven’t left! ",1,"Not Verified","Toronto","Atlanta"
"Solo Leisure","First Class","03-19","yes",1,1,1,1,1,1,1,"  Check in was smooth in Ft Myers, however our flight was delayed by an hour due to ATC issues at LaGuardia, but that’s not the airline’s fault. I had a connecting flight to Boston that I missed due to the delay but they rebooked me on a new flight at the gate with no charge and no hesitation. I was satisfied with the level of customer service I received. When we landed in LaGuardia, Delta put my bags on the flight I was supposed to be on originally to Boston, so my bags got there before I did, which I was happy about. On the flight to Boston, I got a whole row to myself, and the pilots were very informative and very professional upon landing the plane in bad weather. The whole experience was great.",1,"Not Verified","Los Angeles","Kona"
"Couple Leisure","Premium Economy","03-19","yes",1,1,2,3,4,1,2," My flight got delayed, I was supposed to arrive to Lima tomorrow at 5am est and now they want to book me for 10:45pm est. I had another fly from Lima to Chile Santiago at 9am est. Delta representative said they can rebook me without any fees unless is greater than 24hrs he told me to read the agreement. They can do whatever they want because there is no other airline available at this time. I will never fly with them again, worst part is I called them and they told me my fly is scheduled to arrive at 4:25pm so I bought another ticket from Lima to Chile at 6:25 pm - guess what, at the counter I was told that it was a mistake and that I m supposed to arrive at 4:25am to Miami and from there to lima at 10:45pm - this is corporate evil at its max. Save yourself some headaches.",2,"Trip Verified","Detroit","Los Angeles"
